Scope,Family,Segment,Rule,Selection,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
ALL_HOURS,COMBINED,ALL,BASELINE,ALL,1983,1489,469,25,76.04698672114402,2755,1.389309127584468,0.889309127584468,0.389309127584468,-0.110690872415532
ALL_HOURS,COMBINED,ALL,ROOM,ELIGIBLE,1983,1489,469,25,76.04698672114402,2755,1.389309127584468,0.889309127584468,0.389309127584468,-0.110690872415532
ALL_HOURS,COMBINED,ALL,ROOM,KEPT,1631,1235,372,24,76.85127566894835,2455,1.5052115266707542,1.0052115266707542,0.5052115266707542,0.005211526670754196
ALL_HOURS,COMBINED,ALL,ROOM,DROPPED,352,254,97,1,72.36467236467236,300,0.8522727272727273,0.3522727272727273,-0.1477272727272727,-0.6477272727272727
ALL_HOURS,COMBINED,ALL,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,ALL,DEPTH,ELIGIBLE,1857,1394,441,22,75.96730245231608,2560,1.3785675821217016,0.8785675821217016,0.3785675821217016,-0.1214324178782984
ALL_HOURS,COMBINED,ALL,DEPTH,KEPT,572,422,141,9,74.95559502664298,700,1.2237762237762237,0.7237762237762237,0.22377622377622375,-0.27622377622377625
ALL_HOURS,COMBINED,ALL,DEPTH,DROPPED,1285,972,300,13,76.41509433962264,1860,1.4474708171206225,0.9474708171206225,0.44747081712062253,-0.05252918287937747
ALL_HOURS,COMBINED,ALL,DEPTH,MISSING,126,95,28,3,77.23577235772358,195,1.5476190476190477,1.0476190476190477,0.5476190476190477,0.04761904761904767
ALL_HOURS,COMBINED,ALL,SPEED,ELIGIBLE,1838,1388,434,16,76.18002195389681,2600,1.4145810663764962,0.9145810663764962,0.41458106637649617,-0.08541893362350383
ALL_HOURS,COMBINED,ALL,SPEED,KEPT,880,671,202,7,76.86139747995418,1335,1.5170454545454546,1.0170454545454546,0.5170454545454546,0.017045454545454586
ALL_HOURS,COMBINED,ALL,SPEED,DROPPED,958,717,232,9,75.55321390937829,1265,1.3204592901878915,0.8204592901878915,0.32045929018789154,-0.17954070981210846
ALL_HOURS,COMBINED,ALL,SPEED,MISSING,145,101,35,9,74.26470588235294,155,1.0689655172413792,0.5689655172413792,0.06896551724137923,-0.4310344827586208
ALL_HOURS,COMBINED,DEV,BASELINE,ALL,943,713,223,7,76.17521367521367,1335,1.415694591728526,0.915694591728526,0.41569459172852596,-0.08430540827147404
ALL_HOURS,COMBINED,DEV,ROOM,ELIGIBLE,943,713,223,7,76.17521367521367,1335,1.415694591728526,0.915694591728526,0.41569459172852596,-0.08430540827147404
ALL_HOURS,COMBINED,DEV,ROOM,KEPT,757,578,173,6,76.96404793608522,1160,1.5323645970937914,1.0323645970937914,0.5323645970937914,0.03236459709379136
ALL_HOURS,COMBINED,DEV,ROOM,DROPPED,186,135,50,1,72.97297297297297,175,0.9408602150537635,0.4408602150537635,-0.05913978494623651,-0.5591397849462365
ALL_HOURS,COMBINED,DEV,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,DEV,DEPTH,ELIGIBLE,885,670,209,6,76.22298065984073,1260,1.423728813559322,0.923728813559322,0.423728813559322,-0.07627118644067798
ALL_HOURS,COMBINED,DEV,DEPTH,KEPT,271,201,67,3,75.0,335,1.2361623616236161,0.7361623616236161,0.23616236162361615,-0.26383763837638385
ALL_HOURS,COMBINED,DEV,DEPTH,DROPPED,614,469,142,3,76.759410801964,925,1.506514657980456,1.006514657980456,0.506514657980456,0.006514657980456029
ALL_HOURS,COMBINED,DEV,DEPTH,MISSING,58,43,14,1,75.43859649122807,75,1.293103448275862,0.7931034482758621,0.2931034482758621,-0.2068965517241379
