Scope,Family,Segment,Feature,Bucket,Boundaries,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
ALL_HOURS,COMBINED,ALL,RoomTicks,1,"(0, 3, 6, 11)",67,51,16,0,76.11940298507463,95,1.4179104477611941,0.9179104477611941,0.4179104477611941,-0.08208955223880587
ALL_HOURS,COMBINED,ALL,RoomTicks,2,"(0, 3, 6, 11)",285,203,81,1,71.47887323943662,205,0.7192982456140351,0.2192982456140351,-0.2807017543859649,-0.7807017543859649
ALL_HOURS,COMBINED,ALL,RoomTicks,3,"(0, 3, 6, 11)",546,425,115,6,78.70370370370371,975,1.7857142857142858,1.2857142857142858,0.7857142857142858,0.2857142857142858
ALL_HOURS,COMBINED,ALL,RoomTicks,4,"(0, 3, 6, 11)",411,314,88,9,78.1094527363184,690,1.6788321167883211,1.1788321167883211,0.6788321167883211,0.17883211678832112
ALL_HOURS,COMBINED,ALL,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",674,496,169,9,74.58646616541354,790,1.172106824925816,0.672106824925816,0.17210682492581597,-0.32789317507418403
ALL_HOURS,COMBINED,ALL,DepthRatio,1,"(0, 0.5, 1)",459,336,115,8,74.50110864745011,530,1.1546840958605664,0.6546840958605664,0.15468409586056642,-0.3453159041394336
ALL_HOURS,COMBINED,ALL,DepthRatio,2,"(0, 0.5, 1)",492,378,108,6,77.77777777777777,810,1.646341463414634,1.146341463414634,0.646341463414634,0.14634146341463405
ALL_HOURS,COMBINED,ALL,DepthRatio,3,"(0, 0.5, 1)",906,680,218,8,75.7238307349666,1220,1.346578366445916,0.8465783664459161,0.3465783664459161,-0.1534216335540839
ALL_HOURS,COMBINED,ALL,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",126,95,28,3,77.23577235772358,195,1.5476190476190477,1.0476190476190477,0.5476190476190477,0.04761904761904767
ALL_HOURS,COMBINED,ALL,SpeedRatio,1,"(0, 0.5, 1, 2)",450,340,106,4,76.23318385650224,640,1.4222222222222223,0.9222222222222223,0.4222222222222223,-0.07777777777777772
ALL_HOURS,COMBINED,ALL,SpeedRatio,2,"(0, 0.5, 1, 2)",430,331,96,3,77.51756440281031,695,1.6162790697674418,1.1162790697674418,0.6162790697674418,0.11627906976744184
ALL_HOURS,COMBINED,ALL,SpeedRatio,3,"(0, 0.5, 1, 2)",421,320,99,2,76.37231503579952,610,1.4489311163895486,0.9489311163895486,0.44893111638954863,-0.051068883610451365
ALL_HOURS,COMBINED,ALL,SpeedRatio,4,"(0, 0.5, 1, 2)",537,397,133,7,74.90566037735849,655,1.2197392923649908,0.7197392923649908,0.2197392923649908,-0.2802607076350092
ALL_HOURS,COMBINED,ALL,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",145,101,35,9,74.26470588235294,155,1.0689655172413792,0.5689655172413792,0.06896551724137923,-0.4310344827586208
ALL_HOURS,COMBINED,DEV,RoomTicks,1,"(0, 3, 6, 11)",32,24,8,0,75.0,40,1.25,0.75,0.25,-0.25
ALL_HOURS,COMBINED,DEV,RoomTicks,2,"(0, 3, 6, 11)",154,111,42,1,72.54901960784314,135,0.8766233766233766,0.37662337662337664,-0.12337662337662336,-0.6233766233766234
ALL_HOURS,COMBINED,DEV,RoomTicks,3,"(0, 3, 6, 11)",255,205,49,1,80.70866141732283,535,2.0980392156862746,1.5980392156862746,1.0980392156862746,0.5980392156862746
ALL_HOURS,COMBINED,DEV,RoomTicks,4,"(0, 3, 6, 11)",181,135,45,1,75.0,225,1.2430939226519337,0.7430939226519337,0.24309392265193375,-0.25690607734806625
ALL_HOURS,COMBINED,DEV,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",321,238,79,4,75.0788643533123,400,1.2461059190031152,0.7461059190031152,0.24610591900311518,-0.2538940809968848
ALL_HOURS,COMBINED,DEV,DepthRatio,1,"(0, 0.5, 1)",218,158,57,3,73.48837209302326,220,1.0091743119266054,0.5091743119266054,0.00917431192660545,-0.49082568807339455
ALL_HOURS,COMBINED,DEV,DepthRatio,2,"(0, 0.5, 1)",228,179,48,1,78.8546255506608,415,1.8201754385964912,1.3201754385964912,0.8201754385964912,0.3201754385964912
ALL_HOURS,COMBINED,DEV,DepthRatio,3,"(0, 0.5, 1)",439,333,104,2,76.20137299771167,625,1.4236902050113895,0.9236902050113895,0.42369020501138954,-0.07630979498861046
ALL_HOURS,COMBINED,DEV,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",58,43,14,1,75.43859649122807,75,1.293103448275862,0.7931034482758621,0.2931034482758621,-0.2068965517241379
ALL_HOURS,COMBINED,DEV,SpeedRatio,1,"(0, 0.5, 1, 2)",212,160,50,2,76.19047619047619,300,1.4150943396226414,0.9150943396226414,0.4150943396226414,-0.08490566037735858
ALL_HOURS,COMBINED,DEV,SpeedRatio,2,"(0, 0.5, 1, 2)",206,164,41,1,80.0,410,1.9902912621359223,1.4902912621359223,0.9902912621359223,0.49029126213592233
ALL_HOURS,COMBINED,DEV,SpeedRatio,3,"(0, 0.5, 1, 2)",201,156,43,2,78.39195979899498,350,1.7412935323383085,1.2412935323383085,0.7412935323383085,0.24129353233830853
ALL_HOURS,COMBINED,DEV,SpeedRatio,4,"(0, 0.5, 1, 2)",258,187,70,1,72.76264591439688,235,0.9108527131782945,0.4108527131782945,-0.08914728682170547,-0.5891472868217055
ALL_HOURS,COMBINED,DEV,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",66,46,19,1,70.76923076923077,40,0.6060606060606061,0.10606060606060608,-0.3939393939393939,-0.8939393939393939
ALL_HOURS,COMBINED,LATER,RoomTicks,1,"(0, 3, 6, 11)",35,27,8,0,77.14285714285714,55,1.5714285714285714,1.0714285714285714,0.5714285714285714,0.0714285714285714
ALL_HOURS,COMBINED,LATER,RoomTicks,2,"(0, 3, 6, 11)",131,92,39,0,70.22900763358778,70,0.5343511450381679,0.03435114503816794,-0.46564885496183206,-0.9656488549618321
ALL_HOURS,COMBINED,LATER,RoomTicks,3,"(0, 3, 6, 11)",291,220,66,5,76.92307692307692,440,1.5120274914089347,1.0120274914089347,0.5120274914089347,0.012027491408934665
ALL_HOURS,COMBINED,LATER,RoomTicks,4,"(0, 3, 6, 11)",230,179,43,8,80.63063063063063,465,2.0217391304347827,1.5217391304347827,1.0217391304347827,0.5217391304347827
ALL_HOURS,COMBINED,LATER,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",353,258,90,5,74.13793103448276,390,1.1048158640226629,0.6048158640226629,0.10481586402266285,-0.39518413597733715
ALL_HOURS,COMBINED,LATER,DepthRatio,1,"(0, 0.5, 1)",241,178,58,5,75.42372881355932,310,1.2863070539419088,0.7863070539419088,0.2863070539419088,-0.2136929460580912
ALL_HOURS,COMBINED,LATER,DepthRatio,2,"(0, 0.5, 1)",264,199,60,5,76.83397683397683,395,1.496212121212121,0.9962121212121211,0.4962121212121211,-0.0037878787878788955
ALL_HOURS,COMBINED,LATER,DepthRatio,3,"(0, 0.5, 1)",467,347,114,6,75.27114967462039,595,1.2740899357601714,0.7740899357601714,0.2740899357601714,-0.22591006423982862
ALL_HOURS,COMBINED,LATER,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",68,52,14,2,78.78787878787878,120,1.7647058823529411,1.2647058823529411,0.7647058823529411,0.2647058823529411
ALL_HOURS,COMBINED,LATER,SpeedRatio,1,"(0, 0.5, 1, 2)",238,180,56,2,76.27118644067797,340,1.4285714285714286,0.9285714285714286,0.4285714285714286,-0.0714285714285714
ALL_HOURS,COMBINED,LATER,SpeedRatio,2,"(0, 0.5, 1, 2)",224,167,55,2,75.22522522522523,285,1.2723214285714286,0.7723214285714286,0.2723214285714286,-0.2276785714285714
ALL_HOURS,COMBINED,LATER,SpeedRatio,3,"(0, 0.5, 1, 2)",220,164,56,0,74.54545454545455,260,1.1818181818181819,0.6818181818181819,0.18181818181818188,-0.3181818181818181
ALL_HOURS,COMBINED,LATER,SpeedRatio,4,"(0, 0.5, 1, 2)",279,210,63,6,76.92307692307692,420,1.5053763440860215,1.0053763440860215,0.5053763440860215,0.005376344086021501
ALL_HOURS,COMBINED,LATER,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",79,55,16,8,77.46478873239437,115,1.4556962025316456,0.9556962025316456,0.45569620253164556,-0.044303797468354444
ALL_HOURS,COMBINED,LONG,RoomTicks,1,"(0, 3, 6, 11)",32,23,9,0,71.875,25,0.78125,0.28125,-0.21875,-0.71875
ALL_HOURS,COMBINED,LONG,RoomTicks,2,"(0, 3, 6, 11)",150,107,42,1,71.81208053691275,115,0.7666666666666667,0.2666666666666667,-0.23333333333333328,-0.7333333333333333
ALL_HOURS,COMBINED,LONG,RoomTicks,3,"(0, 3, 6, 11)",257,210,47,0,81.71206225680933,580,2.2568093385214008,1.7568093385214008,1.2568093385214008,0.7568093385214008
ALL_HOURS,COMBINED,LONG,RoomTicks,4,"(0, 3, 6, 11)",194,146,46,2,76.04166666666667,270,1.3917525773195876,0.8917525773195876,0.39175257731958757,-0.10824742268041243
ALL_HOURS,COMBINED,LONG,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",345,253,91,1,73.54651162790698,355,1.0289855072463767,0.5289855072463767,0.02898550724637672,-0.4710144927536233
ALL_HOURS,COMBINED,LONG,DepthRatio,1,"(0, 0.5, 1)",235,170,64,1,72.64957264957265,210,0.8936170212765957,0.3936170212765957,-0.1063829787234043,-0.6063829787234043
