broad candidates 3109
BASE 1 843 593 70.34 757 537 70.94
BASE 2 448 309 68.97 437 320 73.23
BASE 3 178 129 72.47 209 151 72.25
BASE 4 96 64 66.67 78 50 64.1
BASE 5 25 18 72.0 24 20 83.33
BASE 6 6 3 50.0 8 6 75.0
TOP 3,20,0,30,0,0,5,0,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,0,5,2,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,0,10,0,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,0,10,2,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,0,15,0,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,0,15,2,tail_1,False,20,19,95.0,24,21,87.5
TOP 3,20,0,30,0,1,5,0,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,20,0,30,0,1,5,2,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,20,0,30,0,1,10,0,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,20,0,30,0,1,10,2,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,20,0,30,0,1,15,0,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,20,0,30,0,1,15,2,tail_1,False,26,23,88.46,29,25,86.21
TOP 3,10,0,30,0,0,5,0,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,10,0,30,0,0,5,2,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,10,0,30,0,0,10,0,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,10,0,30,0,0,10,2,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,10,0,30,0,0,15,0,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,10,0,30,0,0,15,2,tail_1,False,20,19,95.0,28,24,85.71
TOP 3,20,0,30,0,1,5,0,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,20,0,30,0,1,5,2,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,20,0,30,0,1,10,0,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,20,0,30,0,1,10,2,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,20,0,30,0,1,15,0,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,20,0,30,0,1,15,2,tail_1,True,24,21,87.5,27,23,85.19
TOP 3,10,0,30,0,1,5,0,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,10,0,30,0,1,5,2,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,10,0,30,0,1,10,0,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,10,0,30,0,1,10,2,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,10,0,30,0,1,15,0,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,10,0,30,0,1,15,2,tail_1,False,26,23,88.46,33,28,84.85
TOP 3,20,0,30,1.5,1,5,0,tail_1,False,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,5,0,tail_1,True,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,5,2,tail_1,False,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,5,2,tail_1,True,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,10,0,tail_1,False,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,10,0,tail_1,True,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,10,2,tail_1,False,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,10,2,tail_1,True,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,15,0,tail_1,False,21,18,85.71,26,22,84.62
TOP 3,20,0,30,1.5,1,15,0,tail_1,True,21,18,85.71,26,22,84.62
