PullbackBars,Prior24Min,Current24Min,Current50Min,Gap824Min,Gap2450Min,TouchTolerance,PenMax,RecoveryMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
1,20,0,0,3,1.5,0,10,1,112,82,73.21,145,89,61.38
1,20,0,0,3,1.5,0,10,2,80,57,71.25,109,70,64.22
1,20,0,0,3,1.5,1,2.5,0,231,165,71.43,278,178,64.03
1,20,0,0,3,1.5,1,2.5,1,198,143,72.22,243,151,62.14
1,20,0,0,3,1.5,1,2.5,2,148,104,70.27,183,114,62.3
1,20,0,0,3,1.5,1,5,0,241,171,70.95,302,193,63.91
1,20,0,0,3,1.5,1,5,1,203,147,72.41,258,160,62.02
1,20,0,0,3,1.5,1,5,2,152,108,71.05,191,120,62.83
1,20,0,0,3,1.5,1,7.5,0,241,171,70.95,302,193,63.91
1,20,0,0,3,1.5,1,7.5,1,203,147,72.41,258,160,62.02
1,20,0,0,3,1.5,1,7.5,2,152,108,71.05,191,120,62.83
1,20,0,0,3,1.5,1,10,0,241,171,70.95,302,193,63.91
1,20,0,0,3,1.5,1,10,1,203,147,72.41,258,160,62.02
1,20,0,0,3,1.5,1,10,2,152,108,71.05,191,120,62.83
1,20,0,0,3,3,0,2.5,0,106,74,69.81,129,81,62.79
1,20,0,0,3,3,0,2.5,1,89,63,70.79,114,68,59.65
1,20,0,0,3,3,0,2.5,2,63,42,66.67,89,56,62.92
1,20,0,0,3,3,0,5,0,115,79,68.7,151,96,63.58
1,20,0,0,3,3,0,5,1,93,66,70.97,128,77,60.16
1,20,0,0,3,3,0,5,2,66,45,68.18,97,62,63.92
1,20,0,0,3,3,0,7.5,0,115,79,68.7,151,96,63.58
1,20,0,0,3,3,0,7.5,1,93,66,70.97,128,77,60.16
1,20,0,0,3,3,0,7.5,2,66,45,68.18,97,62,63.92
1,20,0,0,3,3,0,10,0,115,79,68.7,151,96,63.58
1,20,0,0,3,3,0,10,1,93,66,70.97,128,77,60.16
1,20,0,0,3,3,0,10,2,66,45,68.18,97,62,63.92
1,20,0,0,3,3,1,2.5,0,202,139,68.81,231,143,61.9
1,20,0,0,3,3,1,2.5,1,173,121,69.94,207,125,60.39
1,20,0,0,3,3,1,2.5,2,129,87,67.44,156,95,60.9
1,20,0,0,3,3,1,5,0,211,144,68.25,253,158,62.45
1,20,0,0,3,3,1,5,1,177,124,70.06,221,134,60.63
1,20,0,0,3,3,1,5,2,132,90,68.18,164,101,61.59
1,20,0,0,3,3,1,7.5,0,211,144,68.25,253,158,62.45
1,20,0,0,3,3,1,7.5,1,177,124,70.06,221,134,60.63
1,20,0,0,3,3,1,7.5,2,132,90,68.18,164,101,61.59
1,20,0,0,3,3,1,10,0,211,144,68.25,253,158,62.45
1,20,0,0,3,3,1,10,1,177,124,70.06,221,134,60.63
1,20,0,0,3,3,1,10,2,132,90,68.18,164,101,61.59
1,20,0,0,3,5,0,2.5,0,69,47,68.12,90,53,58.89
1,20,0,0,3,5,0,2.5,1,57,39,68.42,78,42,53.85
1,20,0,0,3,5,0,2.5,2,39,24,61.54,60,33,55.0
1,20,0,0,3,5,0,5,0,76,50,65.79,107,65,60.75
1,20,0,0,3,5,0,5,1,60,41,68.33,90,50,55.56
1,20,0,0,3,5,0,5,2,41,26,63.41,67,39,58.21
1,20,0,0,3,5,0,7.5,0,76,50,65.79,107,65,60.75
1,20,0,0,3,5,0,7.5,1,60,41,68.33,90,50,55.56
1,20,0,0,3,5,0,7.5,2,41,26,63.41,67,39,58.21
1,20,0,0,3,5,0,10,0,76,50,65.79,107,65,60.75
1,20,0,0,3,5,0,10,1,60,41,68.33,90,50,55.56
1,20,0,0,3,5,0,10,2,41,26,63.41,67,39,58.21
1,20,0,0,3,5,1,2.5,0,130,89,68.46,159,100,62.89
1,20,0,0,3,5,1,2.5,1,114,78,68.42,139,84,60.43
1,20,0,0,3,5,1,2.5,2,84,54,64.29,103,62,60.19
1,20,0,0,3,5,1,5,0,137,92,67.15,176,112,63.64
1,20,0,0,3,5,1,5,1,117,80,68.38,151,92,60.93
1,20,0,0,3,5,1,5,2,86,56,65.12,110,68,61.82
1,20,0,0,3,5,1,7.5,0,137,92,67.15,176,112,63.64
1,20,0,0,3,5,1,7.5,1,117,80,68.38,151,92,60.93
1,20,0,0,3,5,1,7.5,2,86,56,65.12,110,68,61.82
1,20,0,0,3,5,1,10,0,137,92,67.15,176,112,63.64
1,20,0,0,3,5,1,10,1,117,80,68.38,151,92,60.93
1,20,0,0,3,5,1,10,2,86,56,65.12,110,68,61.82
1,20,0,0,5,1.5,0,2.5,0,12,9,75.0,14,9,64.29
1,20,0,0,5,1.5,0,2.5,1,9,7,77.78,10,6,60.0
1,20,0,0,5,1.5,0,2.5,2,6,4,66.67,7,4,57.14
1,20,0,0,5,1.5,0,5,0,12,9,75.0,15,10,66.67
1,20,0,0,5,1.5,0,5,1,9,7,77.78,10,6,60.0
1,20,0,0,5,1.5,0,5,2,6,4,66.67,7,4,57.14
1,20,0,0,5,1.5,0,7.5,0,12,9,75.0,15,10,66.67
1,20,0,0,5,1.5,0,7.5,1,9,7,77.78,10,6,60.0
1,20,0,0,5,1.5,0,7.5,2,6,4,66.67,7,4,57.14
1,20,0,0,5,1.5,0,10,0,12,9,75.0,15,10,66.67
1,20,0,0,5,1.5,0,10,1,9,7,77.78,10,6,60.0
1,20,0,0,5,1.5,0,10,2,6,4,66.67,7,4,57.14
