PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
2,0,39,1.5,0,4.5,-999,379,274,72.3,412,291,70.63
2,0,39,1.5,0,4.5,0,347,250,72.05,382,269,70.42
2,0,39,1.5,0,4.5,15,295,212,71.86,323,224,69.35
2,0,39,1.5,0.5,4.5,-999,359,260,72.42,400,283,70.75
2,0,39,1.5,0.5,4.5,0,327,236,72.17,370,261,70.54
2,0,39,1.5,0.5,4.5,15,275,198,72.0,311,216,69.45
2,0,39,1.5,1,4.5,-999,334,241,72.16,370,266,71.89
2,0,39,1.5,1,4.5,0,302,217,71.85,340,244,71.76
2,0,39,1.5,1,4.5,15,250,179,71.6,281,199,70.82
2,0,39,1.5,1,2.5,-999,135,102,75.56,148,109,73.65
2,0,39,1.5,1,2.5,0,135,102,75.56,148,109,73.65
2,0,39,1.5,1,2.5,15,135,102,75.56,148,109,73.65
2,0,39,3,0,4.5,-999,378,273,72.22,410,291,70.98
2,0,39,3,0,4.5,0,347,250,72.05,382,269,70.42
2,0,39,3,0,4.5,15,295,212,71.86,323,224,69.35
2,0,39,3,0.5,4.5,-999,358,259,72.35,398,283,71.11
2,0,39,3,0.5,4.5,0,327,236,72.17,370,261,70.54
2,0,39,3,0.5,4.5,15,275,198,72.0,311,216,69.45
2,0,39,3,1,4.5,-999,333,240,72.07,368,266,72.28
2,0,39,3,1,4.5,0,302,217,71.85,340,244,71.76
2,0,39,3,1,4.5,15,250,179,71.6,281,199,70.82
2,0,39,3,1,2.5,-999,135,102,75.56,148,109,73.65
2,0,39,3,1,2.5,0,135,102,75.56,148,109,73.65
2,0,39,3,1,2.5,15,135,102,75.56,148,109,73.65
2,0,39,5,0,4.5,-999,310,226,72.9,349,249,71.35
2,0,39,5,0,4.5,0,288,209,72.57,336,237,70.54
2,0,39,5,0,4.5,15,252,184,73.02,289,202,69.9
2,0,39,5,0.5,4.5,-999,291,212,72.85,337,241,71.51
2,0,39,5,0.5,4.5,0,269,195,72.49,324,229,70.68
2,0,39,5,0.5,4.5,15,233,170,72.96,277,194,70.04
2,0,39,5,1,4.5,-999,266,193,72.56,308,225,73.05
2,0,39,5,1,4.5,0,244,176,72.13,295,213,72.2
2,0,39,5,1,4.5,15,208,151,72.6,248,178,71.77
2,0,39,5,1,2.5,-999,112,85,75.89,134,102,76.12
