BarNumber,Time,Direction,Entry,Families,SignalBarStopPlus1,TicksSeen,SameSecondAmbiguous,Stop1,Stop2,Stop3,Stop4,Stop5,Stop6,Stop7,Stop8,Stop9,Stop10
14255,2026-08-12 01:39:19.192,1,7759.5,EMA50,6,2163,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14351,2026-08-12 05:00:44.812,1,7770.5,EMA8,6,1169,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14356,2026-08-12 05:08:22.476,1,7769.5,EMA24,6,5829,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14380,2026-08-12 05:29:47.496,1,7779.25,EMA8,6,282,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14383,2026-08-12 05:29:50.296,1,7780.0,EMA8,6,21,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14389,2026-08-12 05:29:54.112,1,7779.25,EMA24,6,3,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14393,2026-08-12 05:29:55.908,1,7780.75,EMA8,6,63,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
14441,2026-08-12 05:30:01.200,1,7785.25,EMA8,6,379,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14446,2026-08-12 05:30:01.440,1,7784.25,EMA24,6,391,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14485,2026-08-12 05:30:04.852,-1,7780.0,EMA24,6,47,True,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14506,2026-08-12 05:30:05.748,-1,7776.0,EMA8,6,274,True,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14515,2026-08-12 05:30:06.092,-1,7775.75,EMA24,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14523,2026-08-12 05:30:07.036,-1,7768.75,PIN,6,91,True,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
14527,2026-08-12 05:30:07.488,-1,7766.75,PIN,6,1,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14534,2026-08-12 05:30:08.320,-1,7767.25,EMA8,6,193,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,NONE,NONE
14572,2026-08-12 05:30:12.388,-1,7764.25,EMA8,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14575,2026-08-12 05:30:12.536,-1,7763.25,EMA8,6,251,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14579,2026-08-12 05:30:12.944,-1,7762.25,EMA8,6,214,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14602,2026-08-12 05:30:30.732,1,7771.0,EMA8,6,820,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
14604,2026-08-12 05:30:32.584,1,7771.0,EMA8,6,583,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14606,2026-08-12 05:30:37.944,1,7771.25,EMA8,6,169,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14614,2026-08-12 05:30:57.672,1,7770.25,EMA50,6,557,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14621,2026-08-12 05:31:15.640,1,7769.5,EMA50,6,287,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14636,2026-08-12 05:32:13.112,1,7777.75,PIN,6,2884,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
14638,2026-08-12 05:32:26.656,1,7777.0,EMA8,6,1836,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14647,2026-08-12 05:33:44.632,1,7778.0,EMA8,6,323,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14723,2026-08-12 06:10:36.552,1,7785.75,EMA24,6,8291,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
14742,2026-08-12 06:29:54.312,1,7792.25,EMA8,6,738,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14765,2026-08-12 06:31:20.752,-1,7778.5,PIN,6,1978,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14766,2026-08-12 06:31:26.692,-1,7777.75,PIN,6,2239,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14782,2026-08-12 06:33:10.604,-1,7773.75,EMA8,6,9015,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
14787,2026-08-12 06:33:51.856,-1,7776.25,EMA24,6,767,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14850,2026-08-12 06:42:02.528,-1,7773.75,EMA50,6,26383,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET
14928,2026-08-12 06:54:17.180,-1,7773.5,EMA24,6,1365,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14933,2026-08-12 06:54:57.680,-1,7771.0,EMA8,6,4379,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14936,2026-08-12 06:55:24.808,-1,7770.25,EMA8,6,3855,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
14951,2026-08-12 06:58:10.316,-1,7768.5,EMA24,6,2582,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15094,2026-08-12 07:31:10.180,-1,7763.25,EMA8,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15096,2026-08-12 07:31:10.232,-1,7763.5,EMA8,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15098,2026-08-12 07:31:10.312,-1,7763.0,EMA8,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15139,2026-08-12 07:31:20.008,1,7768.0,EMA24,6,5135,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15148,2026-08-12 07:32:03.888,1,7770.25,EMA8,6,4136,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15182,2026-08-12 07:39:18.036,1,7770.5,EMA24,6,5375,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15196,2026-08-12 07:43:43.552,1,7774.0,EMA8,6,673,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15226,2026-08-12 07:53:06.900,-1,7768.25,EMA24,6,381,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15240,2026-08-12 07:56:17.312,-1,7766.0,EMA24,6,765,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15248,2026-08-12 07:58:42.032,-1,7766.75,EMA50,6,18378,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
15258,2026-08-12 08:01:42.860,-1,7765.5,EMA24,6,9266,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET
15260,2026-08-12 08:02:19.528,-1,7766.0,EMA50,6,2936,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15329,2026-08-12 08:26:46.404,-1,7763.75,EMA50,6,14100,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15331,2026-08-12 08:27:09.252,-1,7763.5,EMA50,6,10946,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15335,2026-08-12 08:28:09.564,-1,7763.5,EMA50,6,4338,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15400,2026-08-12 09:08:23.416,1,7765.75,EMA24,6,958,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15411,2026-08-12 09:18:13.884,1,7770.0,EMA8,6,21169,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET
15414,2026-08-12 09:21:26.460,1,7769.0,EMA24,6,3591,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15518,2026-08-12 11:48:22.108,1,7779.75,EMA8,6,4075,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15553,2026-08-12 12:45:32.068,-1,7773.5,EMA24+EMA50,6,1516,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15570,2026-08-12 12:54:50.036,-1,7767.5,EMA8,6,1388,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15620,2026-08-12 13:55:17.156,-1,7767.75,EMA8,6,2195,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15624,2026-08-12 15:00:01.024,-1,7769.25,EMA24,6,5341,True,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,NONE
15626,2026-08-12 15:00:01.916,-1,7769.5,EMA50,6,5721,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
15630,2026-08-12 15:00:59.380,-1,7769.75,EMA50,6,4898,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
15727,2026-08-12 21:23:50.888,1,7773.25,EMA24,6,532,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15732,2026-08-12 21:45:43.356,1,7775.75,EMA8,6,1659,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15741,2026-08-12 22:34:54.164,1,7779.5,EMA8,6,12042,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15797,2026-08-13 01:41:48.760,1,7781.5,EMA8,6,4264,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15819,2026-08-13 03:30:40.920,1,7784.25,EMA8,6,5263,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15824,2026-08-13 04:06:59.640,1,7785.25,EMA8,6,7669,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
15827,2026-08-13 04:29:18.592,1,7784.0,EMA24,6,1353,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15869,2026-08-13 05:30:01.288,1,7786.75,EMA24,6,15,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15905,2026-08-13 05:30:03.268,1,7788.0,EMA50,6,307,True,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15960,2026-08-13 06:07:54.664,1,7791.5,PIN,6,14485,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
15971,2026-08-13 06:25:51.220,1,7792.0,EMA8,6,5191,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15974,2026-08-13 06:30:01.524,1,7792.5,EMA8,6,1,True,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
15979,2026-08-13 06:30:05.564,1,7791.0,EMA24,6,1197,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16005,2026-08-13 06:32:49.272,1,7790.5,EMA50,6,1916,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16016,2026-08-13 06:34:21.652,1,7795.5,EMA8,6,1079,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16037,2026-08-13 06:39:21.008,1,7806.5,EMA8,6,1580,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16068,2026-08-13 06:47:17.840,1,7810.75,PIN,6,2645,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16070,2026-08-13 06:47:47.660,1,7812.5,PIN,6,3955,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16072,2026-08-13 06:48:28.216,1,7814.0,PIN,6,14555,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16075,2026-08-13 06:49:20.696,1,7813.0,EMA8,6,3399,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16082,2026-08-13 06:51:22.004,1,7813.5,EMA8,6,1483,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16089,2026-08-13 06:53:31.252,1,7814.25,EMA8,6,7691,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16098,2026-08-13 06:58:10.324,1,7819.25,PIN,6,1930,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16104,2026-08-13 07:01:09.296,1,7824.75,PIN,6,8785,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
16111,2026-08-13 07:04:44.408,1,7825.5,EMA8,6,1305,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16122,2026-08-13 07:08:55.156,1,7825.0,EMA24,6,841,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16132,2026-08-13 07:15:52.120,1,7829.75,EMA8,6,3444,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16156,2026-08-13 07:25:26.124,1,7835.25,EMA8,6,16100,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
16159,2026-08-13 07:27:01.668,1,7835.5,EMA8,6,8148,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET
16173,2026-08-13 07:35:26.280,1,7837.0,EMA8,6,533,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16195,2026-08-13 07:47:27.768,-1,7827.5,EMA8,6,290,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16200,2026-08-13 07:49:10.108,-1,7822.5,PIN,6,152,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16202,2026-08-13 07:49:21.080,-1,7820.25,PIN,6,8040,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16206,2026-08-13 07:50:03.240,-1,7821.25,EMA8,6,4209,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16233,2026-08-13 07:58:27.352,-1,7822.25,EMA50,6,18640,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16256,2026-08-13 08:06:11.892,-1,7819.25,EMA8,6,471,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16262,2026-08-13 08:07:47.880,-1,7817.5,EMA8,6,1626,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16274,2026-08-13 08:11:27.556,-1,7816.75,EMA24,6,6917,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
16302,2026-08-13 08:21:45.352,-1,7815.75,EMA50,6,3022,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16323,2026-08-13 08:28:33.828,-1,7808.0,EMA8,6,845,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16338,2026-08-13 08:30:59.532,-1,7806.0,EMA24,6,13134,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
16352,2026-08-13 08:35:54.508,-1,7804.5,EMA24,6,2263,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16357,2026-08-13 08:36:49.628,-1,7803.75,EMA24,6,4132,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16410,2026-08-13 09:01:12.468,-1,7800.5,EMA24,6,5855,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16459,2026-08-13 09:38:54.880,1,7809.75,EMA8,6,3024,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16473,2026-08-13 09:55:40.020,1,7811.25,EMA8,6,9038,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16475,2026-08-13 09:58:23.908,1,7811.5,EMA8,6,2945,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16486,2026-08-13 10:11:03.052,1,7817.0,EMA8,6,15943,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET
16488,2026-08-13 10:15:05.032,1,7816.5,EMA8,6,1849,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16491,2026-08-13 10:18:45.200,1,7817.25,EMA8,6,1362,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16498,2026-08-13 10:28:15.736,1,7816.75,EMA24,6,11258,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16561,2026-08-13 12:00:25.748,1,7822.5,EMA8,6,3307,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16564,2026-08-13 12:05:25.360,1,7823.75,EMA8,6,853,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16577,2026-08-13 12:17:46.332,1,7824.0,EMA24,6,2590,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16585,2026-08-13 12:27:53.456,1,7826.0,EMA24,6,8599,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
16615,2026-08-13 12:54:40.028,-1,7821.0,EMA50,6,2127,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16679,2026-08-13 15:17:24.244,1,7824.75,EMA24,6,289,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16685,2026-08-13 16:07:07.784,1,7824.75,EMA50,6,410,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16690,2026-08-13 16:27:11.944,1,7826.25,EMA24,6,18181,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16713,2026-08-13 18:11:32.792,-1,7821.75,EMA8,6,2073,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16721,2026-08-13 18:54:01.648,-1,7823.5,EMA50,6,9333,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16782,2026-08-14 02:02:39.664,1,7826.0,EMA24,6,6911,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
16796,2026-08-14 03:34:00.084,1,7827.75,EMA8,6,9353,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
16844,2026-08-14 05:45:07.272,1,7829.25,EMA24,6,947,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16853,2026-08-14 06:05:59.276,1,7829.75,EMA50,6,6653,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16885,2026-08-14 06:31:24.252,-1,7823.0,EMA8,6,3145,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
16914,2026-08-14 06:40:04.108,-1,7821.75,EMA24,6,18855,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16964,2026-08-14 06:57:02.144,1,7826.5,EMA50,6,7375,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
16999,2026-08-14 07:09:12.716,1,7829.5,EMA8,6,14110,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17002,2026-08-14 07:10:06.516,1,7828.75,EMA24,6,9982,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17041,2026-08-14 07:23:01.072,-1,7818.0,EMA8,6,17800,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
17046,2026-08-14 07:24:38.732,-1,7817.75,EMA8,6,16116,False,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET
17053,2026-08-14 07:26:40.256,-1,7816.75,EMA8,6,1983,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17055,2026-08-14 07:27:23.612,-1,7816.0,EMA8,6,7941,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17063,2026-08-14 07:30:14.040,-1,7816.25,EMA24,6,1061,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17069,2026-08-14 07:31:38.368,-1,7812.75,EMA8,6,8782,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
17071,2026-08-14 07:32:19.432,-1,7813.0,EMA8,6,3073,False,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17075,2026-08-14 07:33:20.016,-1,7811.25,EMA8,6,24851,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17078,2026-08-14 07:34:58.808,-1,7811.5,EMA8,6,11969,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17124,2026-08-14 08:01:14.048,-1,7812.5,EMA24,6,480,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17143,2026-08-14 08:12:20.176,-1,7809.0,EMA8,6,9472,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
17150,2026-08-14 08:15:50.944,-1,7807.5,EMA8,6,22470,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET
17153,2026-08-14 08:19:12.860,-1,7808.25,EMA24,6,7655,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17240,2026-08-14 09:29:28.960,1,7809.5,EMA8,6,5548,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17263,2026-08-14 09:57:48.628,-1,7801.25,EMA8,6,764,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17274,2026-08-14 10:08:14.040,-1,7800.75,EMA24,6,10717,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17297,2026-08-14 10:33:15.460,-1,7801.0,EMA50,6,2193,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17304,2026-08-14 10:41:16.196,-1,7797.75,EMA8,6,26636,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17314,2026-08-14 10:55:09.564,-1,7799.25,EMA50,6,5891,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17436,2026-08-16 15:01:19.784,1,7805.5,EMA50,6,557,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17446,2026-08-16 15:07:55.940,1,7809.25,EMA8,6,1029,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17467,2026-08-16 17:28:25.432,1,7809.75,EMA50,6,12704,False,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET
17507,2026-08-16 23:27:36.096,1,7818.0,EMA8,6,3338,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17534,2026-08-17 01:14:38.452,1,7816.75,EMA50,6,16153,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17579,2026-08-17 03:30:09.092,1,7823.75,EMA8,6,1062,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17582,2026-08-17 03:30:20.348,1,7822.25,EMA24,6,251,False,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17611,2026-08-17 04:35:06.628,-1,7816.0,EMA24,6,8455,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17623,2026-08-17 05:15:45.856,-1,7813.25,EMA24,6,9505,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET
17642,2026-08-17 05:26:49.700,-1,7806.5,EMA8,6,1715,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17661,2026-08-17 05:35:33.320,-1,7807.5,EMA24,6,478,False,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17666,2026-08-17 05:42:13.920,-1,7805.0,EMA8,6,2200,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17676,2026-08-17 05:51:23.228,-1,7802.5,EMA8,6,7745,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17682,2026-08-17 05:58:41.832,-1,7803.75,EMA24,6,14930,False,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP
17748,2026-08-17 06:36:21.240,-1,7799.25,EMA24,6,15198,False,STOP,STOP,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
17750,2026-08-17 06:37:30.608,-1,7799.0,EMA24,6,3343,False,STOP,STOP,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET,TARGET
