Analysis,Window,Segment,Selected,Resolved,Targets,TargetRate,PnlTicksPerSelected
HOUR,18:00,LATER,24,24,19,79.1667,1.8750
HOUR,19:00,ALL,22,22,14,63.6364,-0.4545
HOUR,19:00,DEVELOPMENT,9,9,4,44.4444,-3.3333
HOUR,19:00,LATER,13,13,10,76.9231,1.5385
HOUR,20:00,ALL,24,24,18,75.0000,1.2500
HOUR,20:00,DEVELOPMENT,8,8,7,87.5000,3.1250
HOUR,20:00,LATER,16,16,11,68.7500,0.3125
HOUR,21:00,ALL,26,25,20,80.0000,1.9231
HOUR,21:00,DEVELOPMENT,13,13,11,84.6154,2.6923
HOUR,21:00,LATER,13,12,9,75.0000,1.1538
HOUR,22:00,ALL,39,39,28,71.7949,0.7692
HOUR,22:00,DEVELOPMENT,18,18,11,61.1111,-0.8333
HOUR,22:00,LATER,21,21,17,80.9524,2.1429
HOUR,23:00,ALL,42,42,33,78.5714,1.7857
HOUR,23:00,DEVELOPMENT,14,14,9,64.2857,-0.3571
HOUR,23:00,LATER,28,28,24,85.7143,2.8571
