bar,time,direction,entry,families,segment,outcome
5300,2026-08-05 07:50:22.408,1,7798.75,EMA8,DEV,STOP
5320,2026-08-05 07:52:31.212,-1,7786.75,PIN,DEV,TARGET
6243,2026-08-05 11:03:24.612,1,7770.25,PIN7,DEV,TARGET
6260,2026-08-05 11:09:35.660,1,7770.75,EMA50,DEV,TARGET
6284,2026-08-05 11:25:11.012,1,7771.25,EMA50,DEV,TARGET
6311,2026-08-05 11:38:06.680,-1,7767.0,EMA50,DEV,TARGET
6339,2026-08-05 11:57:17.108,-1,7765.5,PIN7,DEV,STOP
6341,2026-08-05 11:57:43.964,-1,7766.5,EMA8,DEV,TARGET
6343,2026-08-05 11:58:36.912,-1,7767.0,EMA50,DEV,TARGET
6354,2026-08-05 12:02:57.728,-1,7766.5,EMA50,DEV,TARGET
6385,2026-08-05 12:21:39.812,1,7769.25,EMA50,DEV,TARGET
6389,2026-08-05 12:23:27.828,1,7770.0,EMA50,DEV,TARGET
6404,2026-08-05 12:35:01.624,-1,7766.0,EMA8,DEV,TARGET
6406,2026-08-05 12:36:12.052,-1,7764.0,PIN7,DEV,STOP
6412,2026-08-05 12:38:50.600,-1,7765.0,EMA8,DEV,TARGET
6416,2026-08-05 12:41:21.152,-1,7765.5,EMA24,DEV,STOP
6418,2026-08-05 12:43:07.336,-1,7766.25,EMA50,DEV,TARGET
6461,2026-08-05 12:56:23.544,-1,7763.75,PIN7,DEV,TARGET
6470,2026-08-05 12:59:00.100,-1,7759.75,PIN7,DEV,TARGET
6471,2026-08-05 12:59:02.948,-1,7759.0,PIN7,DEV,TARGET
6484,2026-08-05 12:59:44.020,-1,7751.75,PIN,DEV,TARGET
7379,2026-08-06 06:33:16.124,-1,7741.25,PIN,DEV,STOP
7387,2026-08-06 06:34:16.520,-1,7745.25,EMA24,DEV,TARGET
7419,2026-08-06 06:36:00.160,1,7750.5,EMA8,DEV,TARGET
7426,2026-08-06 06:36:26.952,1,7754.25,PIN7,DEV,TARGET
7460,2026-08-06 06:39:35.764,-1,7749.25,EMA8,DEV,TARGET
7485,2026-08-06 06:41:29.608,1,7752.5,EMA50,DEV,TARGET
7493,2026-08-06 06:42:04.704,1,7755.0,EMA8,DEV,STOP
7506,2026-08-06 06:43:01.568,1,7753.75,EMA50,DEV,TARGET
7509,2026-08-06 06:43:23.676,1,7756.25,PIN7,DEV,TARGET
7516,2026-08-06 06:43:52.588,1,7756.5,EMA8,DEV,TARGET
7709,2026-08-06 07:07:48.944,1,7763.75,EMA8,DEV,TARGET
7711,2026-08-06 07:08:14.028,1,7763.25,EMA8,DEV,TARGET
7713,2026-08-06 07:08:50.888,1,7763.5,EMA8,DEV,TARGET
7723,2026-08-06 07:10:43.428,1,7766.0,EMA8,DEV,TARGET
7727,2026-08-06 07:12:00.300,1,7767.25,EMA8,DEV,STOP
7791,2026-08-06 07:26:31.688,-1,7755.25,EMA8,DEV,TARGET
7799,2026-08-06 07:27:14.708,-1,7753.75,EMA8,DEV,STOP
7801,2026-08-06 07:27:17.480,-1,7753.75,EMA8,DEV,STOP
7803,2026-08-06 07:27:27.176,-1,7754.0,EMA8,DEV,STOP
7879,2026-08-06 07:37:28.884,-1,7752.5,PIN7,DEV,TARGET
7885,2026-08-06 07:38:59.048,-1,7750.75,PIN7,DEV,TARGET
7931,2026-08-06 07:46:04.168,-1,7750.25,EMA8,DEV,TARGET
7933,2026-08-06 07:46:41.772,-1,7749.5,EMA8,DEV,TARGET
7936,2026-08-06 07:47:24.664,-1,7748.75,EMA8,DEV,TARGET
7938,2026-08-06 07:48:13.348,-1,7749.0,EMA8,DEV,TARGET
7973,2026-08-06 07:55:29.052,1,7754.5,EMA8,DEV,TARGET
7975,2026-08-06 07:55:40.624,1,7754.25,EMA8,DEV,TARGET
7978,2026-08-06 07:56:14.760,1,7756.0,PIN7,DEV,TARGET
7980,2026-08-06 07:56:32.088,1,7755.5,EMA8,DEV,TARGET
7994,2026-08-06 07:59:13.636,1,7757.75,EMA24,DEV,TARGET
8677,2026-08-06 11:05:36.956,1,7739.0,PIN7,DEV,STOP
8684,2026-08-06 11:09:42.676,1,7737.5,EMA24,DEV,TARGET
8698,2026-08-06 11:16:13.388,1,7737.25,EMA50,DEV,TARGET
8701,2026-08-06 11:16:21.144,1,7740.75,PIN7,DEV,TARGET
8702,2026-08-06 11:16:42.048,1,7741.5,PIN7,DEV,TARGET
8716,2026-08-06 11:20:01.468,1,7743.75,EMA24,DEV,TARGET
8733,2026-08-06 11:31:33.676,1,7743.5,EMA50,DEV,STOP
8758,2026-08-06 11:48:43.908,-1,7740.25,EMA50,DEV,TARGET
8782,2026-08-06 12:06:33.832,1,7744.75,EMA8,DEV,TARGET
8788,2026-08-06 12:12:07.476,1,7747.75,PIN7,DEV,STOP
8811,2026-08-06 12:25:50.168,-1,7737.5,EMA8,DEV,STOP
8814,2026-08-06 12:26:17.040,-1,7738.75,EMA24,DEV,TARGET
8818,2026-08-06 12:27:38.708,-1,7737.5,EMA8,DEV,TARGET
8842,2026-08-06 12:39:00.620,-1,7735.75,PIN7,DEV,TARGET
8843,2026-08-06 12:40:00.680,-1,7735.25,PIN7,DEV,TARGET
8844,2026-08-06 12:40:34.152,-1,7734.75,PIN7,DEV,TARGET
8845,2026-08-06 12:41:21.528,-1,7734.0,PIN7,DEV,TARGET
8847,2026-08-06 12:42:01.880,-1,7732.25,PIN,DEV,TARGET
8858,2026-08-06 12:46:17.460,-1,7733.5,EMA24,DEV,TARGET
8885,2026-08-06 12:51:52.356,-1,7728.25,EMA8,DEV,STOP
8906,2026-08-06 12:54:39.372,1,7736.5,EMA8,DEV,STOP
8910,2026-08-06 12:55:00.280,1,7736.25,EMA8,DEV,TARGET
9976,2026-08-07 06:32:21.132,1,7760.75,EMA8,DEV,STOP
9986,2026-08-07 06:33:17.020,1,7763.0,PIN7,DEV,STOP
10033,2026-08-07 06:36:39.064,-1,7755.25,EMA8,DEV,TARGET
10058,2026-08-07 06:39:17.644,1,7760.5,EMA24,DEV,TARGET
10092,2026-08-07 06:41:51.860,1,7762.75,EMA8,DEV,STOP
10114,2026-08-07 06:43:30.996,1,7762.75,PIN7,DEV,TARGET
10115,2026-08-07 06:43:45.948,1,7763.25,PIN7,DEV,TARGET
10119,2026-08-07 06:44:04.288,1,7767.25,PIN,DEV,TARGET
10122,2026-08-07 06:44:38.264,1,7766.25,EMA8,DEV,TARGET
10314,2026-08-07 07:01:12.332,1,7760.75,EMA24,DEV,STOP
10350,2026-08-07 07:04:01.160,-1,7755.5,PIN7,DEV,TARGET
10351,2026-08-07 07:04:07.676,-1,7755.25,PIN7,DEV,TARGET
10381,2026-08-07 07:06:28.088,-1,7754.5,EMA50,DEV,STOP
10416,2026-08-07 07:09:46.176,-1,7752.75,PIN7,DEV,TARGET
10421,2026-08-07 07:10:15.448,-1,7752.0,EMA8,DEV,TARGET
10436,2026-08-07 07:11:37.476,-1,7750.25,PIN7,DEV,TARGET
10437,2026-08-07 07:11:51.784,-1,7749.5,PIN7,DEV,TARGET
10492,2026-08-07 07:17:33.552,1,7755.25,EMA8,DEV,TARGET
10499,2026-08-07 07:17:51.784,1,7757.25,EMA8,DEV,TARGET
10506,2026-08-07 07:18:36.064,1,7757.0,EMA8,DEV,TARGET
10508,2026-08-07 07:18:45.692,1,7758.75,PIN7,DEV,TARGET
10533,2026-08-07 07:22:35.944,1,7764.75,EMA24,DEV,TARGET
