BarNumber,Time,Families,Direction,Horizon,TargetTicks,ExitReason,PnlTicks
2158,2026-08-03 22:09:34.376,EMA50,1,24,20,TARGET,20.0000
2158,2026-08-03 22:09:34.376,EMA50,1,24,25,TIME,13.0000
2158,2026-08-03 22:09:34.376,EMA50,1,24,30,TIME,13.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,5,TARGET,5.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,10,TARGET,10.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,15,TARGET,15.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,20,TARGET,20.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,25,BREAK_EVEN,0.0000
2158,2026-08-03 22:09:34.376,EMA50,1,48,30,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,5,TARGET,5.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,10,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,15,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,20,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,25,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,12,30,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,5,TARGET,5.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,10,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,15,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,20,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,25,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,24,30,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,5,TARGET,5.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,10,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,15,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,20,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,25,BREAK_EVEN,0.0000
2264,2026-08-04 02:02:38.684,EMA8,-1,48,30,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,5,TARGET,5.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,10,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,15,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,20,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,25,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,12,30,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,5,TARGET,5.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,10,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,15,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,20,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,25,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,24,30,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,5,TARGET,5.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,10,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,15,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,20,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,25,BREAK_EVEN,0.0000
2270,2026-08-04 02:07:30.596,EMA8,-1,48,30,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,5,TARGET,5.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,10,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,15,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,20,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,25,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,12,30,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,5,TARGET,5.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,10,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,15,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,20,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,25,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,24,30,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,5,TARGET,5.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,10,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,15,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,20,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,25,BREAK_EVEN,0.0000
2273,2026-08-04 02:16:13.028,EMA8,-1,48,30,BREAK_EVEN,0.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,5,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,10,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,15,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,20,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,25,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,12,30,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,5,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,10,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,15,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,20,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,25,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,24,30,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,5,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,10,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,15,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,20,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,25,HARD_STOP,-10.0000
2275,2026-08-04 02:17:04.848,EMA8,-1,48,30,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,5,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,10,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,15,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,20,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,25,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,12,30,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,5,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,10,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,15,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,20,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,25,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,24,30,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,5,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,10,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,15,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,20,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,25,HARD_STOP,-10.0000
2277,2026-08-04 02:22:04.056,EMA8,-1,48,30,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,5,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,10,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,15,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,20,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,25,HARD_STOP,-10.0000
2279,2026-08-04 02:25:29.016,EMA8,-1,12,30,HARD_STOP,-10.0000
