Prior8Min,Prior24Min,Gap824Min,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
39,39,3,0.5,4.5,15,209,151,72.25,245,173,70.61
39,39,3,1,4.5,-999,210,153,72.86,251,182,72.51
39,39,3,1,4.5,0,206,149,72.33,244,176,72.13
39,39,3,1,4.5,15,187,135,72.19,220,158,71.82
39,39,3,1,2.5,-999,109,86,78.9,118,85,72.03
39,39,3,1,2.5,0,109,86,78.9,118,85,72.03
39,39,3,1,2.5,15,109,86,78.9,118,85,72.03
39,39,4,0,4.5,-999,240,172,71.67,275,199,72.36
39,39,4,0,4.5,0,237,169,71.31,272,196,72.06
39,39,4,0,4.5,15,219,156,71.23,250,179,71.6
39,39,4,0.5,4.5,-999,222,160,72.07,264,191,72.35
39,39,4,0.5,4.5,0,219,157,71.69,261,188,72.03
39,39,4,0.5,4.5,15,201,144,71.64,239,171,71.55
39,39,4,1,4.5,-999,200,144,72.0,239,176,73.64
39,39,4,1,4.5,0,197,141,71.57,236,173,73.31
39,39,4,1,4.5,15,179,128,71.51,214,156,72.9
39,39,4,1,2.5,-999,105,83,79.05,114,84,73.68
39,39,4,1,2.5,0,105,83,79.05,114,84,73.68
39,39,4,1,2.5,15,105,83,79.05,114,84,73.68
39,39,5,0,4.5,-999,209,153,73.21,249,178,71.49
39,39,5,0,4.5,0,207,151,72.95,247,176,71.26
39,39,5,0,4.5,15,193,142,73.58,227,161,70.93
39,39,5,0.5,4.5,-999,192,141,73.44,238,170,71.43
39,39,5,0.5,4.5,0,190,139,73.16,236,168,71.19
39,39,5,0.5,4.5,15,176,130,73.86,216,153,70.83
39,39,5,1,4.5,-999,170,125,73.53,214,156,72.9
39,39,5,1,4.5,0,168,123,73.21,212,154,72.64
39,39,5,1,4.5,15,154,114,74.03,192,139,72.4
39,39,5,1,2.5,-999,88,71,80.68,106,79,74.53
39,39,5,1,2.5,0,88,71,80.68,106,79,74.53
39,39,5,1,2.5,15,88,71,80.68,106,79,74.53
45,10,1.5,0,4.5,-999,324,233,71.91,385,275,71.43
45,10,1.5,0,4.5,0,318,227,71.38,375,267,71.2
45,10,1.5,0,4.5,15,287,205,71.43,323,228,70.59
45,10,1.5,0.5,4.5,-999,306,221,72.22,373,266,71.31
45,10,1.5,0.5,4.5,0,300,215,71.67,363,258,71.07
45,10,1.5,0.5,4.5,15,269,193,71.75,311,219,70.42
45,10,1.5,1,4.5,-999,284,205,72.18,343,248,72.3
45,10,1.5,1,4.5,0,278,199,71.58,333,240,72.07
45,10,1.5,1,4.5,15,247,177,71.66,281,201,71.53
45,10,1.5,1,2.5,-999,138,104,75.36,141,99,70.21
45,10,1.5,1,2.5,0,138,104,75.36,141,99,70.21
45,10,1.5,1,2.5,15,138,104,75.36,141,99,70.21
45,10,3,0,4.5,-999,288,209,72.57,337,236,70.03
45,10,3,0,4.5,0,283,204,72.08,328,228,69.51
45,10,3,0,4.5,15,261,188,72.03,292,202,69.18
45,10,3,0.5,4.5,-999,270,197,72.96,325,227,69.85
45,10,3,0.5,4.5,0,265,192,72.45,316,219,69.3
45,10,3,0.5,4.5,15,243,176,72.43,280,193,68.93
45,10,3,1,4.5,-999,248,181,72.98,298,211,70.81
45,10,3,1,4.5,0,243,176,72.43,289,203,70.24
45,10,3,1,4.5,15,221,160,72.4,253,177,69.96
45,10,3,1,2.5,-999,126,97,76.98,134,92,68.66
45,10,3,1,2.5,0,126,97,76.98,134,92,68.66
45,10,3,1,2.5,15,126,97,76.98,134,92,68.66
45,10,4,0,4.5,-999,250,179,71.6,287,206,71.78
45,10,4,0,4.5,0,247,176,71.26,283,202,71.38
45,10,4,0,4.5,15,231,164,71.0,261,184,70.5
