Configuration,BarNumber,Time,Direction,Families,Segment,Outcome,TicksSeen
R4_TAIL3_4,3942,2026-08-05 06:43:58.292,-1,EMA24,DEV,TARGET,1029
R4_TAIL3_4,3947,2026-08-05 06:44:29.976,-1,PIN7,DEV,TARGET,521
R4_TAIL3_4,4256,2026-08-05 07:00:49.248,-1,EMA8,DEV,STOP,1054
R4_TAIL3_4,4268,2026-08-05 07:01:18.816,-1,EMA50,DEV,TARGET,1829
R4_TAIL3_4,4275,2026-08-05 07:01:35.448,-1,PIN,DEV,STOP,2526
R4_TAIL3_4,4280,2026-08-05 07:01:46.844,-1,EMA24,DEV,TARGET,3719
R4_TAIL3_4,4286,2026-08-05 07:02:06.544,-1,EMA8,DEV,TARGET,931
R4_TAIL3_4,4294,2026-08-05 07:02:27.336,-1,EMA8,DEV,TARGET,970
R4_TAIL3_4,4302,2026-08-05 07:02:43.576,-1,EMA24,DEV,TARGET,2169
R4_TAIL3_4,4304,2026-08-05 07:02:50.056,-1,EMA24,DEV,TARGET,20
R4_TAIL3_4,4339,2026-08-05 07:05:01.808,1,PIN7,DEV,TARGET,2422
R4_TAIL3_4,4343,2026-08-05 07:05:16.132,1,PIN7,DEV,TARGET,2206
R4_TAIL3_4,4353,2026-08-05 07:05:38.452,1,EMA8,DEV,STOP,2718
R4_TAIL3_4,4361,2026-08-05 07:05:55.576,1,EMA24,DEV,STOP,962
R4_TAIL3_4,4414,2026-08-05 07:08:43.936,1,EMA50,DEV,STOP,4076
R4_TAIL3_4,4491,2026-08-05 07:14:58.104,1,EMA24,DEV,TARGET,2717
R4_TAIL3_4,4498,2026-08-05 07:15:18.072,1,EMA24,DEV,STOP,14858
R4_TAIL3_4,4547,2026-08-05 07:20:05.660,-1,PIN,DEV,TARGET,663
R4_TAIL3_4,4566,2026-08-05 07:21:22.660,-1,EMA50,DEV,TARGET,1
R4_TAIL3_4,4573,2026-08-05 07:22:10.732,-1,EMA8,DEV,TARGET,359
R4_TAIL3_4,4581,2026-08-05 07:22:32.152,-1,EMA8,DEV,TARGET,891
R4_TAIL3_4,4619,2026-08-05 07:25:25.100,1,PIN7,DEV,TARGET,1994
R4_TAIL3_4,4677,2026-08-05 07:29:32.112,-1,EMA8,DEV,TARGET,917
R4_TAIL3_4,4710,2026-08-05 07:31:24.040,-1,PIN,DEV,TARGET,896
R4_TAIL3_4,4727,2026-08-05 07:32:40.352,-1,EMA24,DEV,STOP,2679
R4_TAIL3_4,4746,2026-08-05 07:33:48.836,1,EMA8,DEV,TARGET,386
R4_TAIL3_4,4754,2026-08-05 07:34:22.024,1,EMA24+EMA50,DEV,STOP,1232
R4_TAIL3_4,4776,2026-08-05 07:36:07.164,-1,PIN7,DEV,TARGET,3626
R4_TAIL3_4,4777,2026-08-05 07:36:16.068,-1,PIN7,DEV,TARGET,1676
R4_TAIL3_4,4778,2026-08-05 07:36:23.008,-1,PIN7,DEV,TARGET,203
R4_TAIL3_4,4783,2026-08-05 07:36:43.504,-1,EMA8,DEV,TARGET,296
R4_TAIL3_4,4785,2026-08-05 07:36:52.320,-1,PIN7,DEV,STOP,1201
R4_TAIL3_4,4792,2026-08-05 07:37:09.272,-1,EMA50,DEV,TARGET,62
R4_TAIL3_4,4804,2026-08-05 07:38:06.964,-1,EMA8,DEV,TARGET,1652
R4_TAIL3_4,4841,2026-08-05 07:41:25.548,-1,PIN7,DEV,STOP,2921
R4_TAIL3_4,4846,2026-08-05 07:41:42.848,-1,EMA24,DEV,STOP,2104
R4_TAIL3_4,4859,2026-08-05 07:42:23.452,-1,PIN7,DEV,STOP,1183
R4_TAIL3_4,4869,2026-08-05 07:43:15.788,1,EMA8,DEV,STOP,3066
R4_TAIL3_4,4885,2026-08-05 07:44:27.236,-1,PIN7,DEV,TARGET,891
R4_TAIL3_4,4941,2026-08-05 07:50:21.932,1,EMA8,DEV,STOP,1197
R4_TAIL3_4,4945,2026-08-05 07:50:31.540,1,EMA50,DEV,TARGET,327
R4_TAIL3_4,4976,2026-08-05 07:53:05.520,-1,EMA8,DEV,TARGET,2054
R4_TAIL3_4,4978,2026-08-05 07:53:13.036,-1,EMA8,DEV,TARGET,1
R4_TAIL3_4,4995,2026-08-05 07:53:48.172,-1,EMA8,DEV,TARGET,1572
R4_TAIL3_4,5005,2026-08-05 07:54:14.428,-1,EMA8,DEV,STOP,7174
R4_TAIL3_4,5022,2026-08-05 07:55:17.004,-1,PIN7,DEV,STOP,3685
R4_TAIL3_4,5063,2026-08-05 07:59:25.864,1,PIN7,DEV,TARGET,768
R4_TAIL3_4,6325,2026-08-05 11:04:36.164,1,PIN7,DEV,TARGET,838
R4_TAIL3_4,6337,2026-08-05 11:06:53.748,1,EMA50,DEV,STOP,2769
R4_TAIL3_4,6405,2026-08-05 11:32:09.460,-1,PIN,DEV,STOP,13796
R4_TAIL3_4,6415,2026-08-05 11:34:42.440,-1,EMA24,DEV,TARGET,279
R4_TAIL3_4,6461,2026-08-05 11:52:08.208,1,EMA24+EMA50,DEV,TARGET,7107
R4_TAIL3_4,6464,2026-08-05 11:53:21.124,1,EMA50,DEV,STOP,8525
R4_TAIL3_4,6472,2026-08-05 11:57:12.864,-1,PIN7,DEV,STOP,1676
