EMA,Pool,Shape,PullbackBars,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
24,selected,one_tick_tail,3,33,26,78.79,31,25,80.65
24,selected,tail_0.0,1,5,4,80.0,8,8,100.0
24,selected,tail_0.0,2,12,7,58.33,24,20,83.33
24,selected,tail_0.0,3,29,20,68.97,26,18,69.23
24,selected,tail_1.0,1,9,8,88.89,13,10,76.92
24,selected,tail_1.0,2,31,23,74.19,20,14,70.0
24,selected,tail_1.0,3,33,26,78.79,31,25,80.65
24,selected,tail_2.0,1,10,6,60.0,14,9,64.29
24,selected,tail_2.0,2,14,12,85.71,29,19,65.52
24,selected,tail_2.0,3,22,14,63.64,38,27,71.05
24,selected,tail_3.0,1,10,9,90.0,6,4,66.67
24,selected,tail_3.0,3,14,13,92.86,15,12,80.0
24,selected,tail_4.0,1,10,7,70.0,8,7,87.5
