name,n,resolved,target,stop,none,rate,expectancy,dev_n,dev_rate,hold_n,hold_rate
ALL:RESCUE:BODY_1_2:body_depth>=1,206,206,139,67,0,67.47572815533981,0.12135922330097088,94,62.765957446808514,112,71.42857142857143
ALL:BODY_1_2:body_depth>=2,367,367,268,99,0,73.02452316076294,0.9536784741144414,163,69.32515337423312,204,75.98039215686275
ALL:RESCUE:BODY_1_2:body_depth>=2,167,167,111,56,0,66.46706586826348,-0.029940119760479042,76,57.89473684210526,91,73.62637362637362
ALL:BODY_1_2:body_depth>=3,365,365,268,97,0,73.42465753424658,1.0136986301369864,162,69.75308641975309,203,76.35467980295566
ALL:RESCUE:BODY_1_2:body_depth>=3,165,165,111,54,0,67.27272727272727,0.09090909090909091,75,58.666666666666664,90,74.44444444444444
ALL:BODY_1_2:body_depth>=5,360,360,264,96,0,73.33333333333333,1.0,160,70.0,200,76.0
ALL:RESCUE:BODY_1_2:body_depth>=5,160,160,107,53,0,66.875,0.03125,73,58.9041095890411,87,73.5632183908046
ALL:BODY_1_2:body_depth>=7,359,359,263,96,0,73.25905292479109,0.9888579387186629,160,70.0,199,75.87939698492463
ALL:RESCUE:BODY_1_2:body_depth>=7,159,159,106,53,0,66.66666666666667,0.0,73,58.9041095890411,86,73.25581395348837
ALL:BODY_1_2:body_depth>=10,357,357,262,95,0,73.38935574229691,1.0084033613445378,158,70.25316455696202,199,75.87939698492463
ALL:RESCUE:BODY_1_2:body_depth>=10,157,157,105,52,0,66.87898089171975,0.03184713375796178,71,59.15492957746479,86,73.25581395348837
PRIME:CURRENT_STRICT,67,67,54,13,0,80.59701492537313,2.08955223880597,29,72.41379310344827,38,86.84210526315789
PRIME:CORE_NO_DISTANCE,135,135,98,37,0,72.5925925925926,0.8888888888888888,66,68.18181818181819,69,76.81159420289855
PRIME:ANY_BODY:close_depth>=1,135,135,98,37,0,72.5925925925926,0.8888888888888888,66,68.18181818181819,69,76.81159420289855
PRIME:RESCUE:ANY_BODY:close_depth>=1,68,68,44,24,0,64.70588235294117,-0.29411764705882354,37,64.86486486486487,31,64.51612903225806
PRIME:ANY_BODY:close_depth>=2,130,130,96,34,0,73.84615384615384,1.0769230769230769,64,68.75,66,78.78787878787878
PRIME:RESCUE:ANY_BODY:close_depth>=2,63,63,42,21,0,66.66666666666667,0.0,35,65.71428571428571,28,67.85714285714286
PRIME:ANY_BODY:close_depth>=3,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:ANY_BODY:close_depth>=3,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:ANY_BODY:close_depth>=5,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:ANY_BODY:close_depth>=5,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:ANY_BODY:close_depth>=7,129,129,96,33,0,74.4186046511628,1.1627906976744187,64,68.75,65,80.0
PRIME:RESCUE:ANY_BODY:close_depth>=7,62,62,42,20,0,67.74193548387096,0.16129032258064516,35,65.71428571428571,27,70.37037037037037
PRIME:ANY_BODY:close_depth>=10,128,128,95,33,0,74.21875,1.1328125,63,68.25396825396825,65,80.0
PRIME:RESCUE:ANY_BODY:close_depth>=10,61,61,41,20,0,67.21311475409836,0.08196721311475409,34,64.70588235294117,27,70.37037037037037
