Version,Families,BarNumber,Time,Direction,Segment,TickOutcome,TicksSeen
CURRENT,EMA8,4856,2026-08-05 07:01:46.872,-1,DEV,TARGET,3804
CURRENT,PIN7,4899,2026-08-05 07:05:16.744,1,DEV,TARGET,3356
CURRENT,EMA8,4909,2026-08-05 07:05:50.004,1,DEV,STOP,3206
CURRENT,EMA24,4993,2026-08-05 07:15:05.100,1,DEV,TARGET,767
CURRENT,EMA8,5034,2026-08-05 07:20:20.652,-1,DEV,TARGET,8420
CURRENT,EMA8,5036,2026-08-05 07:20:28.032,-1,DEV,TARGET,4079
CURRENT,EMA8,5041,2026-08-05 07:21:06.552,-1,DEV,STOP,4222
CURRENT,EMA8,5049,2026-08-05 07:22:10.876,-1,DEV,TARGET,560
CURRENT,EMA8,5053,2026-08-05 07:22:26.564,-1,DEV,TARGET,1439
CURRENT,EMA8,5057,2026-08-05 07:22:53.764,-1,DEV,TARGET,4044
CURRENT,EMA8,5061,2026-08-05 07:23:12.508,-1,DEV,TARGET,2746
CURRENT,PIN7,5066,2026-08-05 07:23:32.376,-1,DEV,STOP,7258
CURRENT,PIN_STRICT,5123,2026-08-05 07:29:53.036,-1,DEV,TARGET,1775
CURRENT,PIN7,5129,2026-08-05 07:30:09.948,-1,DEV,TARGET,5136
CURRENT,EMA8,5131,2026-08-05 07:30:19.320,-1,DEV,TARGET,437
CURRENT,EMA24,5138,2026-08-05 07:31:06.088,-1,DEV,TARGET,219
CURRENT,PIN7,5142,2026-08-05 07:31:25.308,-1,DEV,TARGET,1025
CURRENT,EMA24,5149,2026-08-05 07:32:22.196,-1,DEV,TARGET,591
CURRENT,PIN7,5188,2026-08-05 07:36:22.976,-1,DEV,TARGET,724
CURRENT,EMA8,5203,2026-08-05 07:37:47.816,-1,DEV,TARGET,1617
CURRENT,PIN7,5219,2026-08-05 07:40:03.340,-1,DEV,STOP,1869
CURRENT,EMA24,5286,2026-08-05 07:47:55.580,1,DEV,TARGET,25296
CURRENT,EMA8,5300,2026-08-05 07:50:22.408,1,DEV,STOP,998
CURRENT,PIN_STRICT,5320,2026-08-05 07:52:31.212,-1,DEV,TARGET,11977
CURRENT,PIN7,6243,2026-08-05 11:03:24.612,1,DEV,TARGET,631
CURRENT,PIN7,6339,2026-08-05 11:57:17.108,-1,DEV,STOP,3236
CURRENT,EMA8,6341,2026-08-05 11:57:43.964,-1,DEV,TARGET,5750
CURRENT,EMA8,6404,2026-08-05 12:35:01.624,-1,DEV,TARGET,1503
CURRENT,PIN7,6406,2026-08-05 12:36:12.052,-1,DEV,STOP,16190
CURRENT,EMA8,6412,2026-08-05 12:38:50.600,-1,DEV,TARGET,1573
CURRENT,EMA24,6416,2026-08-05 12:41:21.152,-1,DEV,STOP,12230
CURRENT,PIN7,6461,2026-08-05 12:56:23.544,-1,DEV,TARGET,459
CURRENT,PIN7,6470,2026-08-05 12:59:00.100,-1,DEV,TARGET,578
CURRENT,PIN7,6471,2026-08-05 12:59:02.948,-1,DEV,TARGET,598
CURRENT,PIN_STRICT,6484,2026-08-05 12:59:44.020,-1,DEV,TARGET,1
CURRENT,PIN_STRICT,7379,2026-08-06 06:33:16.124,-1,DEV,STOP,3611
CURRENT,EMA24,7387,2026-08-06 06:34:16.520,-1,DEV,TARGET,91
CURRENT,EMA8,7419,2026-08-06 06:36:00.160,1,DEV,TARGET,1022
CURRENT,PIN7,7426,2026-08-06 06:36:26.952,1,DEV,TARGET,539
CURRENT,EMA8,7460,2026-08-06 06:39:35.764,-1,DEV,TARGET,3190
CURRENT,EMA8,7493,2026-08-06 06:42:04.704,1,DEV,STOP,15812
CURRENT,PIN7,7509,2026-08-06 06:43:23.676,1,DEV,TARGET,2368
