profile,trend,pullback,trigger,raw_signals,signals,days,targets,stops,none,resolved_rate,dev_n,dev_rate,hold_n,hold_rate,long_n,long_rate,short_n,short_rate,median_delay_seconds,p90_delay_seconds
T4_very_strong+P4_shrink_doji+E3_strong_clear,T4_very_strong,P4_shrink_doji,E3_strong_clear,7,7,7,5,2,0,71.43,2,100.0,5,60.0,5,80.0,2,50.0,8.792,38.78
T1_ordered_rising+P2_compact+E2_strong,T1_ordered_rising,P2_compact,E2_strong,200,178,33,123,53,2,69.89,77,59.74,101,77.78,59,76.27,119,66.67,24.3,155.548
T2_moderate+P5_relative_weak+E2_strong,T2_moderate,P5_relative_weak,E2_strong,123,120,30,84,34,2,71.19,47,59.57,73,78.87,44,77.27,76,67.57,20.18,114.472
T3_strong+P1_any_1to5+E3_strong_clear,T3_strong,P1_any_1to5,E3_strong_clear,78,72,30,46,25,1,64.79,34,58.82,38,70.27,15,66.67,57,64.29,34.572,172.696
T4_very_strong+P5_relative_weak+E2_strong,T4_very_strong,P5_relative_weak,E2_strong,52,51,26,34,16,1,68.0,17,58.82,34,72.73,18,88.89,33,56.25,19.216,119.976
T4_very_strong+P2_compact+E2_strong,T4_very_strong,P2_compact,E2_strong,47,46,23,31,14,1,68.89,17,58.82,29,75.0,14,92.86,32,58.06,19.216,50.972
T1_ordered_rising+P4_shrink_doji+E2_strong,T1_ordered_rising,P4_shrink_doji,E2_strong,137,130,31,86,43,1,66.67,57,57.89,73,73.61,53,71.7,77,63.16,26.004,152.556
T2_moderate+P2_compact+E2_strong,T2_moderate,P2_compact,E2_strong,121,115,31,79,35,1,69.3,47,57.45,68,77.61,39,76.92,76,65.33,21.412,122.504
T1_ordered_rising+P4_shrink_doji+E3_strong_clear,T1_ordered_rising,P4_shrink_doji,E3_strong_clear,63,59,29,36,22,1,62.07,28,57.14,31,66.67,16,56.25,43,64.29,34.14,159.032
T1_ordered_rising+P5_relative_weak+E3_strong_clear,T1_ordered_rising,P5_relative_weak,E3_strong_clear,49,48,26,30,16,2,65.22,21,57.14,27,72.0,14,50.0,34,71.88,17.728,114.472
T1_ordered_rising+P2_compact+E4_very_strong_clear,T1_ordered_rising,P2_compact,E4_very_strong_clear,31,31,21,21,8,2,72.41,14,57.14,17,86.67,3,66.67,28,73.08,36.044,165.152
T3_strong+P2_compact+E3_strong_clear,T3_strong,P2_compact,E3_strong_clear,20,20,15,13,6,1,68.42,7,57.14,13,75.0,4,75.0,16,66.67,12.544,114.472
T2_moderate+P3_doji+E4_very_strong_clear,T2_moderate,P3_doji,E4_very_strong_clear,18,18,13,12,5,1,70.59,7,57.14,11,80.0,2,100.0,16,66.67,24.3,139.208
T3_strong+P4_shrink_doji+E3_strong_clear,T3_strong,P4_shrink_doji,E3_strong_clear,14,14,14,9,5,0,64.29,7,57.14,7,71.43,8,75.0,6,50.0,15.672,95.624
T2_moderate+P3_doji+E3_strong_clear,T2_moderate,P3_doji,E3_strong_clear,42,42,25,24,17,1,58.54,18,61.11,24,56.52,13,61.54,29,57.14,18.592,139.208
T2_moderate+P5_relative_weak+E3_strong_clear,T2_moderate,P5_relative_weak,E3_strong_clear,32,32,20,20,11,1,64.52,13,53.85,19,72.22,12,58.33,20,68.42,10.172,54.212
T2_moderate+P2_compact+E3_strong_clear,T2_moderate,P2_compact,E3_strong_clear,28,28,18,16,11,1,59.26,12,50.0,16,66.67,8,50.0,20,63.16,15.672,114.472
T1_ordered_rising+P5_relative_weak+E4_very_strong_clear,T1_ordered_rising,P5_relative_weak,E4_very_strong_clear,28,27,18,17,8,2,68.0,10,50.0,17,80.0,3,33.33,24,72.73,25.844,133.048
T2_moderate+P4_shrink_doji+E3_strong_clear,T2_moderate,P4_shrink_doji,E3_strong_clear,27,27,22,15,12,0,55.56,13,61.54,14,50.0,12,58.33,15,53.33,23.168,147.528
T3_strong+P3_doji+E4_very_strong_clear,T3_strong,P3_doji,E4_very_strong_clear,11,11,9,8,2,1,80.0,2,50.0,9,87.5,2,100.0,9,75.0,12.544,114.472
T3_strong+P5_relative_weak+E4_very_strong_clear,T3_strong,P5_relative_weak,E4_very_strong_clear,11,11,9,8,2,1,80.0,2,50.0,9,87.5,2,100.0,9,75.0,12.544,114.472
T3_strong+P4_shrink_doji+E4_very_strong_clear,T3_strong,P4_shrink_doji,E4_very_strong_clear,5,5,5,4,1,0,80.0,2,50.0,3,100.0,2,100.0,3,66.67,12.544,38.78
T3_strong+P1_any_1to5+E4_very_strong_clear,T3_strong,P1_any_1to5,E4_very_strong_clear,36,35,22,20,14,1,58.82,14,42.86,21,70.0,6,83.33,29,53.57,36.456,137.704
T4_very_strong+P1_any_1to5+E4_very_strong_clear,T4_very_strong,P1_any_1to5,E4_very_strong_clear,18,17,14,11,5,1,68.75,7,42.86,10,88.89,3,100.0,14,61.54,24.3,113.992
T2_moderate+P5_relative_weak+E4_very_strong_clear,T2_moderate,P5_relative_weak,E4_very_strong_clear,14,14,10,9,4,1,69.23,5,40.0,9,87.5,3,66.67,11,70.0,12.544,114.096
T2_moderate+P2_compact+E4_very_strong_clear,T2_moderate,P2_compact,E4_very_strong_clear,15,15,10,9,5,1,64.29,6,33.33,9,87.5,2,50.0,13,66.67,24.3,114.472
T3_strong+P2_compact+E4_very_strong_clear,T3_strong,P2_compact,E4_very_strong_clear,11,11,9,7,3,1,70.0,2,0.0,9,87.5,1,100.0,10,66.67,18.592,114.472
T4_very_strong+P2_compact+E4_very_strong_clear,T4_very_strong,P2_compact,E4_very_strong_clear,6,6,5,4,1,1,80.0,1,0.0,5,100.0,0,0,6,80.0,18.592,36.456
