Group,TriggerTicks,StopTicks,Signals,Triggered,Resolved,Targets,Stops,TargetRate,ExpectancyPerTrade,ExpectancyPerSignal
EMA50,2,9,358,281,280,185,95,66.0714,0.2500,0.1955
EMA50,2,10,358,281,279,191,88,68.4588,0.2688,0.2095
PIN,1,1,200,170,170,17,153,10.0000,-0.4000,-0.3400
PIN,1,2,200,170,170,42,128,24.7059,-0.2706,-0.2300
PIN,1,3,200,170,170,56,114,32.9412,-0.3647,-0.3100
PIN,1,4,200,170,170,71,99,41.7647,-0.2412,-0.2050
PIN,1,5,200,170,170,83,87,48.8235,-0.1176,-0.1000
PIN,1,6,200,170,170,96,74,56.4706,0.2118,0.1800
PIN,1,7,200,170,169,99,70,58.5799,0.0296,0.0250
PIN,1,8,200,170,169,107,62,63.3136,0.2308,0.1950
PIN,1,9,200,170,169,114,55,67.4556,0.4438,0.3750
PIN,1,10,200,170,169,116,53,68.6391,0.2959,0.2500
PIN,2,1,200,149,149,6,143,4.0268,-0.7584,-0.5650
PIN,2,2,200,149,149,27,122,18.1208,-0.7315,-0.5450
PIN,2,3,200,149,149,46,103,30.8725,-0.5302,-0.3950
PIN,2,4,200,149,149,57,92,38.2550,-0.5570,-0.4150
PIN,2,5,200,149,149,66,83,44.2953,-0.5705,-0.4250
PIN,2,6,200,149,149,72,77,48.3221,-0.6846,-0.5100
PIN,2,7,200,149,149,81,68,54.3624,-0.4765,-0.3550
PIN,2,8,200,149,148,85,63,57.4324,-0.5338,-0.3950
PIN,2,9,200,149,147,92,55,62.5850,-0.2381,-0.1750
PIN,2,10,200,149,147,96,51,65.3061,-0.2041,-0.1500
